2024-12-06 14:20:05.088 [restartedMain] INFO  com.woorifisa.wl.WlApplication - Starting WlApplication using Java 21.0.4 with PID 42579 (/Users/regular/workspace/woorifisa_final_project/would_you_loan/target/classes started by regular in /Users/regular/workspace/woorifisa_final_project/would_you_loan)
2024-12-06 14:20:05.089 [restartedMain] INFO  com.woorifisa.wl.WlApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-06 14:20:05.115 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-12-06 14:20:05.115 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-12-06 14:20:05.615 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-06 14:20:05.648 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 10 JPA repository interfaces.
2024-12-06 14:20:06.105 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-12-06 14:20:06.114 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-12-06 14:20:06.115 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-12-06 14:20:06.115 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-12-06 14:20:06.139 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-06 14:20:06.140 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1025 ms
2024-12-06 14:20:06.308 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-06 14:20:06.340 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.10.Final
2024-12-06 14:20:06.359 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-12-06 14:20:06.474 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-06 14:20:06.488 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-12-06 14:20:06.725 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@557f75bb
2024-12-06 14:20:06.726 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-12-06 14:20:07.284 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-12-06 14:20:07.334 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-06 14:20:07.589 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-12-06 14:20:08.743 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@593482d9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@123b3bc4, org.springframework.security.web.context.SecurityContextHolderFilter@36e3a22a, com.woorifisa.wl.filter.AddInfoCheckFilter@3bcbff62, org.springframework.security.web.header.HeaderWriterFilter@25ac8b22, org.springframework.security.web.authentication.logout.LogoutFilter@207bb231, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@14400b22, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@122aef6a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66a1e3dc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29e72756, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@259fa14c, org.springframework.security.web.access.ExceptionTranslationFilter@5ab6f02, org.springframework.security.web.access.intercept.AuthorizationFilter@705f3482]
2024-12-06 14:20:09.235 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 7 endpoint(s) beneath base path '/actuator'
2024-12-06 14:20:09.290 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-12-06 14:20:09.332 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-12-06 14:20:09.343 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
